parent_station,service_hour,from_line,from_direction,to_line,to_direction,comparable_connections,mean_extra_transfer_wait_seconds,missed_scheduled_connection_rate
place-dwnxg,0,Red,0,Orange,0,303,1233.3300330033003,0.3795379537953795
place-dwnxg,0,Red,0,Orange,1,293,939.7098976109215,0.3003412969283277
place-dwnxg,0,Red,1,Orange,0,498,774.2610441767068,0.2570281124497992
place-dwnxg,0,Red,1,Orange,1,500,856.774,0.278
place-dwnxg,1,Orange,0,Red,0,63,2036.5714285714287,0.5079365079365079
place-dwnxg,1,Orange,0,Red,1,95,2742.8947368421054,0.2631578947368421
place-dwnxg,1,Orange,1,Red,0,62,1487.4032258064517,0.3709677419354838
place-dwnxg,1,Orange,1,Red,1,89,2316.1011235955057,0.23595505617977525
place-dwnxg,1,Red,0,Orange,0,50,1510.06,0.05999999999999997
place-dwnxg,1,Red,0,Orange,1,49,1798.8367346938776,0.1224489795918367
place-dwnxg,1,Red,1,Orange,0,87,1914.7816091954023,0.19540229885057472
place-dwnxg,1,Red,1,Orange,1,87,1797.7011494252874,0.22988505747126434
place-dwnxg,2,Orange,0,Red,0,1,11955.0,0.0
place-dwnxg,2,Orange,0,Red,1,2,11361.5,0.0
place-dwnxg,2,Orange,1,Red,0,2,11764.5,0.0
place-dwnxg,2,Orange,1,Red,1,6,11960.0,0.0
place-dwnxg,2,Red,0,Orange,0,1,12095.0,0.0
place-dwnxg,2,Red,0,Orange,1,1,8761.0,0.0
place-dwnxg,2,Red,1,Orange,0,2,11681.0,1.0
place-dwnxg,2,Red,1,Orange,1,2,11918.0,1.0
place-dwnxg,5,Orange,0,Red,0,303,62.78547854785479,0.1023102310231023
place-dwnxg,5,Orange,0,Red,1,437,28.270022883295194,0.16933638443935928
place-dwnxg,5,Orange,1,Red,0,275,76.14545454545454,0.0836363636363636
place-dwnxg,5,Orange,1,Red,1,399,53.416040100250626,0.15789473684210525
place-dwnxg,5,Red,0,Orange,0,165,49.23030303030303,0.11515151515151513
place-dwnxg,5,Red,0,Orange,1,165,66.01212121212122,0.21818181818181817
place-dwnxg,5,Red,1,Orange,0,399,56.75689223057644,0.11779448621553883
place-dwnxg,5,Red,1,Orange,1,399,217.16541353383454,0.1102756892230576
place-dwnxg,6,Orange,0,Red,0,644,77.3136645962733,0.20031055900621114
place-dwnxg,6,Orange,0,Red,1,930,49.91505376344086,0.24623655913978493
place-dwnxg,6,Orange,1,Red,0,608,54.875,0.1184210526315789
place-dwnxg,6,Orange,1,Red,1,881,70.64472190692395,0.2939841089670829
place-dwnxg,6,Red,0,Orange,0,500,57.594,0.17999999999999997
place-dwnxg,6,Red,0,Orange,1,500,66.32,0.22799999999999998
place-dwnxg,6,Red,1,Orange,0,833,260.4753901560624,0.21848739495798317
place-dwnxg,6,Red,1,Orange,1,833,233.38295318127254,0.21968787515006
place-dwnxg,7,Orange,0,Red,0,624,59.80769230769231,0.26282051282051283
place-dwnxg,7,Orange,0,Red,1,902,72.49889135254989,0.28603104212860303
place-dwnxg,7,Orange,1,Red,0,623,57.553772070626,0.2664526484751204
place-dwnxg,7,Orange,1,Red,1,905,63.21546961325967,0.3248618784530386
place-dwnxg,7,Red,0,Orange,0,551,57.092558983666066,0.22867513611615242
place-dwnxg,7,Red,0,Orange,1,551,62.8021778584392,0.2867513611615245
place-dwnxg,7,Red,1,Orange,0,831,237.46690734055355,0.2803850782190132
place-dwnxg,7,Red,1,Orange,1,831,195.4921780986763,0.23706377858002403
place-dwnxg,8,Orange,0,Red,0,622,72.69453376205789,0.1977491961414791
place-dwnxg,8,Orange,0,Red,1,892,84.52354260089686,0.32286995515695066
place-dwnxg,8,Orange,1,Red,0,631,77.34389857369256,0.2076069730586371
place-dwnxg,8,Orange,1,Red,1,910,63.27582417582418,0.2945054945054945
place-dwnxg,8,Red,0,Orange,0,536,52.44962686567164,0.3544776119402985
place-dwnxg,8,Red,0,Orange,1,536,59.92164179104478,0.43097014925373134
place-dwnxg,8,Red,1,Orange,0,871,176.54305396096441,0.26406429391504016
