parent_station,station_name,service_hour,time_period,from_line,to_line,from_late_over_5_minutes,to_late_over_5_minutes,combined_late_exposure
place-haecl,Haymarket,19,Night,Green,Orange,0.2731402612152186,0.12052877138413685,0.36074777249954293
place-haecl,Haymarket,20,Night,Green,Orange,0.18486486486486486,0.11842105263157894,0.28139402560455196
place-haecl,Haymarket,21,Night,Green,Orange,0.19436619718309858,0.10711150131694469,0.2806588433144962
place-haecl,Haymarket,22,Night,Green,Orange,0.251685393258427,0.10127659574468086,0.32747214917523304
place-haecl,Haymarket,23,Night,Green,Orange,0.2487864077669903,0.08340214698596202,0.31143923420426034
place-north,North Station,0,Early / night,Green,Orange,0.20038167938931298,0.051643192488262914,0.24167652223775216
place-north,North Station,1,Early / night,Green,Orange,0.21157684630738524,0.060109289617486336,0.25896840199382654
place-north,North Station,2,Early / night,Green,Orange,0.1,0.0,0.09999999999999998
place-north,North Station,5,Early / night,Green,Orange,0.06358381502890173,0.03802281368821293,0.09918899316468499
place-north,North Station,6,Early / night,Green,Orange,0.09544334975369458,0.07925925925925927,0.16713783981025365
place-north,North Station,7,Morning peak (7-9 AM),Green,Orange,0.1154068090017311,0.1206896551724138,0.2221680561911773
place-north,North Station,8,Morning peak (7-9 AM),Green,Orange,0.13097949886104784,0.11789473684210526,0.23343244215321912
place-north,North Station,9,Midday (9 AM-4 PM),Green,Orange,0.15795328142380421,0.13670694864048338,0.2730669189330879
place-north,North Station,10,Midday (9 AM-4 PM),Green,Orange,0.1823394495412844,0.13172043010752688,0.2900420489296637
place-north,North Station,11,Midday (9 AM-4 PM),Green,Orange,0.18309859154929578,0.09514370664023786,0.2608216195089267
place-north,North Station,12,Midday (9 AM-4 PM),Green,Orange,0.17033603707995365,0.07706592386258125,0.2342748568778773
place-north,North Station,13,Midday (9 AM-4 PM),Green,Orange,0.20272572402044292,0.07608695652173914,0.26338789719280054
place-north,North Station,14,Midday (9 AM-4 PM),Green,Orange,0.17052512704686618,0.13084922010398614,0.27906126726863667
place-north,North Station,15,Midday (9 AM-4 PM),Green,Orange,0.218785151856018,0.16529543754674644,0.34791640199799256
place-north,North Station,16,Evening peak (4-6 PM),Green,Orange,0.24705882352941178,0.19000757002271007,0.39012334684062877
place-north,North Station,17,Evening peak (4-6 PM),Green,Orange,0.2535857716580608,0.21847389558232932,0.41665779584200247
place-north,North Station,18,Night,Green,Orange,0.2555066079295154,0.17042801556420234,0.3823891393407498
place-north,North Station,19,Night,Green,Orange,0.25731981981981983,0.11940298507462686,0.34599805028909514
place-north,North Station,20,Night,Green,Orange,0.19014461703267274,0.11726078799249531,0.2851088973993856
place-north,North Station,21,Night,Green,Orange,0.17604049493813273,0.1070811744386874,0.26427104643007704
place-north,North Station,22,Night,Green,Orange,0.24487534626038782,0.09802235597592433,0.31889444387544874
