line,service_hour,time_period,comparable_stop_events,median_schedule_difference_seconds,share_late_over_5_minutes,share_within_5_minutes
Green,4,Early / night,247,-422.0,0.0,0.3967611336032389
Green,5,Early / night,28702,20.0,0.0500661974775277,0.8861054978747126
Green,6,Early / night,64792,18.0,0.11280713668354118,0.7299975305593284
Green,7,Morning peak (7-9 AM),72382,-16.0,0.10194523500317759,0.7123179796081899
Green,8,Morning peak (7-9 AM),75376,39.0,0.14723519422627893,0.7169656123965188
Green,9,Midday (9 AM-4 PM),76390,59.0,0.1975782170441157,0.6845922241131038
Green,10,Midday (9 AM-4 PM),74461,54.0,0.2066719490740119,0.680920213266005
Green,11,Midday (9 AM-4 PM),73935,42.0,0.2014336917562724,0.6587543112193143
Green,12,Midday (9 AM-4 PM),72178,49.5,0.20445288037906287,0.6737787137354873
Green,13,Midday (9 AM-4 PM),73436,66.0,0.20959747262922818,0.6784819434609728
Green,14,Midday (9 AM-4 PM),73976,63.0,0.2004839407375365,0.6918865578025305
Green,15,Midday (9 AM-4 PM),74905,81.0,0.23277484814097857,0.6632668046191843
Green,16,Evening peak (4-6 PM),74848,62.0,0.23319260367678496,0.6378126336041043
Green,17,Evening peak (4-6 PM),72350,86.0,0.2549965445749827,0.6447408431237042
Green,18,Night,74981,103.0,0.26630746455768795,0.6467238367052986
Green,19,Night,75373,89.0,0.25749273612566836,0.6443023363804015
Green,20,Night,75310,68.0,0.22491037046872925,0.6448811578807595
Green,21,Night,73949,71.0,0.20723742038431892,0.665309875725162
Green,22,Night,72109,94.0,0.25163294457002594,0.6396150272504125
Green,23,Night,69451,94.0,0.2545967660652834,0.6406819196267872
Mattapan,0,Early / night,4729,-68.0,0.021780503277648553,0.9429054768449989
Mattapan,1,Early / night,1866,-69.5,0.05251875669882101,0.860128617363344
Mattapan,2,Early / night,433,-117.0,0.046189376443418015,0.6651270207852193
Mattapan,5,Early / night,2762,-43.0,0.021361332367849383,0.9674149167270094
Mattapan,6,Early / night,4702,-60.0,0.027860484900042535,0.947043811144194
Mattapan,7,Morning peak (7-9 AM),6835,-51.0,0.052084857351865396,0.9322604242867594
Mattapan,8,Morning peak (7-9 AM),7673,-42.0,0.04418089404405057,0.943959337938225
Mattapan,9,Midday (9 AM-4 PM),6270,-29.0,0.06746411483253588,0.9191387559808613
Mattapan,10,Midday (9 AM-4 PM),6113,-23.0,0.06510714869949288,0.9211516440372975
Mattapan,11,Midday (9 AM-4 PM),6029,-38.0,0.04329076132028529,0.9447669596948084
Mattapan,12,Midday (9 AM-4 PM),6165,-54.0,0.04817518248175182,0.9429034874290348
Mattapan,13,Midday (9 AM-4 PM),6257,-51.0,0.04618826913856481,0.933035000799105
Mattapan,14,Midday (9 AM-4 PM),5943,-49.0,0.038869257950530034,0.9488473834763588
Mattapan,15,Midday (9 AM-4 PM),7759,-42.0,0.046397731666451864,0.9353009408428922
Mattapan,16,Evening peak (4-6 PM),7813,-28.0,0.04518110840906182,0.9436836042493281
Mattapan,17,Evening peak (4-6 PM),7686,-10.0,0.06036950299245381,0.9276606817590424
Mattapan,18,Night,7439,-30.0,0.05753461486758973,0.9279473047452614
Mattapan,19,Night,5162,-42.0,0.05114296784192174,0.9312282061216582
Mattapan,20,Night,4754,-20.0,0.05679427850231384,0.9299537231804796
Mattapan,21,Night,4857,-37.0,0.058884084826024294,0.9149680872966852
Mattapan,22,Night,4785,-39.0,0.05663531870428422,0.915987460815047
Mattapan,23,Night,4597,-51.0,0.028061779421361756,0.9551881661953447
Orange,0,Early / night,19663,9.0,0.06118089813355032,0.8113207547169812
Orange,1,Early / night,3694,4.0,0.0828370330265295,0.721710882512182
Orange,2,Early / night,169,67.0,0.23668639053254437,0.5739644970414202
Orange,5,Early / night,9750,28.0,0.03835897435897436,0.9242051282051282
Orange,6,Early / night,24989,33.0,0.08619792708791868,0.880787546520469
Orange,7,Morning peak (7-9 AM),26059,50.0,0.11757933919183391,0.8576307609655014
Orange,8,Morning peak (7-9 AM),26098,70.0,0.13276879454364318,0.8320560962525864
Orange,9,Midday (9 AM-4 PM),25079,65.0,0.13784441165915706,0.8147454045217114
Orange,10,Midday (9 AM-4 PM),20720,42.0,0.1260135135135135,0.8356177606177606
Orange,11,Midday (9 AM-4 PM),18732,47.0,0.09160794362588084,0.8724108477471706
Orange,12,Midday (9 AM-4 PM),20261,40.0,0.09180198410739845,0.8699965450866196
Orange,13,Midday (9 AM-4 PM),20620,33.5,0.08069835111542192,0.859262851600388
Orange,14,Midday (9 AM-4 PM),21972,36.0,0.13294192608774805,0.824868013835791
Orange,15,Midday (9 AM-4 PM),24515,44.0,0.16806037120130532,0.7881705078523353
Orange,16,Evening peak (4-6 PM),24515,52.0,0.1897205792372017,0.7629206608199062
Orange,17,Evening peak (4-6 PM),23269,65.0,0.2205509476127036,0.7436503502514075
Orange,18,Night,23742,52.0,0.1638446634655884,0.7865386235363491
Orange,19,Night,23624,48.0,0.12889434473416864,0.8192939383677617
Orange,20,Night,20005,40.0,0.12051987003249187,0.8156960759810048
Orange,21,Night,21454,46.0,0.1092104036543302,0.824508250209751
Orange,22,Night,21711,41.0,0.10496983096126387,0.8328036479204091
Orange,23,Night,22634,31.0,0.09017407440134312,0.8272068569408854
Red,0,Early / night,15708,68.0,0.18633817163228927,0.6817545199898141
Red,1,Early / night,3141,69.0,0.262336835402738,0.6411970709964979
Red,2,Early / night,184,503.0,0.657608695652174,0.266304347826087
Red,5,Early / night,4054,40.0,0.051307350764676865,0.8722249629995067
Red,6,Early / night,16627,70.0,0.1474108377939496,0.8211944427738016
Red,7,Morning peak (7-9 AM),21041,93.0,0.16833800674872867,0.813316857563804
Red,8,Morning peak (7-9 AM),22718,160.0,0.2981776564838454,0.6769521964961704
Red,9,Midday (9 AM-4 PM),21751,187.0,0.3585122523102386,0.6106385913291343
Red,10,Midday (9 AM-4 PM),19344,214.0,0.39857320099255583,0.5732009925558312
Red,11,Midday (9 AM-4 PM),18182,264.0,0.45908040919590803,0.5133648663513365
Red,12,Midday (9 AM-4 PM),18418,321.0,0.5186230861114127,0.4567271147790205
Red,13,Midday (9 AM-4 PM),17320,265.0,0.46247113163972287,0.5101616628175519
Red,14,Midday (9 AM-4 PM),16769,237.0,0.4265012821277357,0.5500626155405808
Red,15,Midday (9 AM-4 PM),18570,210.0,0.3827140549273021,0.5934841141626279
Red,16,Evening peak (4-6 PM),18641,219.0,0.3953650555227724,0.5683707955581782
Red,17,Evening peak (4-6 PM),18392,286.0,0.4837973031752936,0.4797738147020444
Red,18,Night,18533,347.0,0.5460529865645065,0.41261533480818
Red,19,Night,17746,290.0,0.4900259213343852,0.4500732559450017
Red,20,Night,18354,229.0,0.4229595728451564,0.5111147433801896
Red,21,Night,17208,175.0,0.3440841469084147,0.5958275220827522
Red,22,Night,17079,143.0,0.3044674746765033,0.6239241173370806
Red,23,Night,17735,114.0,0.23822948970961375,0.6900479278263321
