line,parent_station,service_hour,comparable_observations,mean_excess_wait_seconds
Blue,place-wondl,20,735,31.941496598639457
Blue,place-wondl,21,601,52.590682196339436
Blue,place-wondl,22,617,32.08022690437601
Blue,place-wondl,23,547,47.78793418647167
Green,place-alsgr,0,768,73.654296875
Green,place-alsgr,1,288,141.48958333333334
Green,place-alsgr,2,34,357.72058823529414
Green,place-alsgr,5,399,44.38972431077694
Green,place-alsgr,6,878,59.01993166287016
Green,place-alsgr,7,1079,69.45875810936052
Green,place-alsgr,8,1110,61.806756756756755
Green,place-alsgr,9,1099,61.010919017288444
Green,place-alsgr,10,1111,69.34338433843385
Green,place-alsgr,11,1108,66.54151624548736
Green,place-alsgr,12,1039,75.15255052935515
Green,place-alsgr,13,1061,74.74175306314797
Green,place-alsgr,14,1065,69.96572769953052
Green,place-alsgr,15,1079,71.0681186283596
Green,place-alsgr,16,1064,67.51926691729324
Green,place-alsgr,17,1057,70.00709555345317
Green,place-alsgr,18,1050,68.32809523809524
Green,place-alsgr,19,1067,66.21462043111528
Green,place-alsgr,20,1078,64.55890538033395
Green,place-alsgr,21,1016,64.43307086614173
Green,place-alsgr,22,977,68.94626407369499
Green,place-alsgr,23,999,67.52152152152152
Green,place-amory,0,724,63.36809392265194
Green,place-amory,1,246,74.26829268292683
Green,place-amory,2,30,272.81666666666666
Green,place-amory,3,1,4511.0
Green,place-amory,5,282,50.138297872340424
Green,place-amory,6,817,55.37760097919217
Green,place-amory,7,941,65.6817215727949
Green,place-amory,8,985,56.40710659898477
Green,place-amory,9,1010,59.173762376237626
Green,place-amory,10,953,63.94281217208814
Green,place-amory,11,972,65.07098765432099
Green,place-amory,12,950,74.2078947368421
Green,place-amory,13,920,70.96195652173913
Green,place-amory,14,916,74.69541484716157
Green,place-amory,15,966,70.15683229813665
Green,place-amory,16,928,66.25269396551724
Green,place-amory,17,914,72.09956236323852
Green,place-amory,18,955,68.31047120418849
Green,place-amory,19,923,66.72264355362947
Green,place-amory,20,925,61.568108108108106
Green,place-amory,21,890,65.9752808988764
Green,place-amory,22,869,71.54948216340621
Green,place-amory,23,882,58.683673469387756
Green,place-armnl,0,3300,33.02348484848485
Green,place-armnl,1,841,57.37574316290131
Green,place-armnl,2,80,297.05
Green,place-armnl,3,1,657.5
Green,place-armnl,5,1502,42.2719707057257
Green,place-armnl,6,3552,33.15878378378378
Green,place-armnl,7,3714,30.261577813677974
Green,place-armnl,8,3932,32.68438453713123
Green,place-armnl,9,3953,33.74171515304832
Green,place-armnl,10,3904,34.278560450819676
Green,place-armnl,11,3845,28.934980494148245
Green,place-armnl,12,3836,30.007559958289885
Green,place-armnl,13,3768,36.70806794055202
Green,place-armnl,14,3830,36.64543080939948
Green,place-armnl,15,3823,31.913941930421135
Green,place-armnl,16,3868,30.18549638055843
Green,place-armnl,17,3756,31.953407880724175
Green,place-armnl,18,3915,30.220561941251596
Green,place-armnl,19,3859,30.534853589012698
Green,place-armnl,20,3857,30.587373606429868
Green,place-armnl,21,3820,29.263874345549738
Green,place-armnl,22,3676,29.624591947769314
Green,place-armnl,23,3674,34.16072400653239
Green,place-babck,0,717,107.51464435146444
Green,place-babck,1,250,81.946
Green,place-babck,2,29,226.63793103448276
Green,place-babck,3,1,4513.5
Green,place-babck,5,298,45.261744966442954
Green,place-babck,6,802,51.92705735660848
Green,place-babck,7,947,65.6272439281943
Green,place-babck,8,977,56.89406345957011
Green,place-babck,9,1002,59.167165668662676
Green,place-babck,10,971,64.77600411946447
Green,place-babck,11,970,64.39536082474227
Green,place-babck,12,921,74.57926167209556
Green,place-babck,13,935,73.11443850267379
Green,place-babck,14,928,72.82974137931035
Green,place-babck,15,966,69.56107660455487
Green,place-babck,16,920,67.12989130434782
Green,place-babck,17,930,73.62258064516129
Green,place-babck,18,946,68.72780126849894
Green,place-babck,19,929,67.02314316469322
Green,place-babck,20,921,62.098805646036915
Green,place-babck,21,875,63.708
Green,place-babck,22,863,69.48435689455388
Green,place-babck,23,874,58.39473684210526
Green,place-balsq,0,823,85.84933171324423
Green,place-balsq,1,455,122.97802197802197
Green,place-balsq,2,48,229.45833333333334
Green,place-balsq,3,4,2642.625
Green,place-balsq,4,53,0.0
Green,place-balsq,5,882,56.6921768707483
Green,place-balsq,6,1347,59.298812175204155
Green,place-balsq,7,1172,71.44496587030717
Green,place-balsq,8,1119,71.14075067024129
Green,place-balsq,9,1109,62.89990982867448
Green,place-balsq,10,1156,65.18512110726644
Green,place-balsq,11,1140,63.622368421052634
Green,place-balsq,12,1110,65.10945945945946
Green,place-balsq,13,1100,62.144090909090906
Green,place-balsq,14,1142,60.79991243432575
Green,place-balsq,15,1124,69.6970640569395
Green,place-balsq,16,1143,54.13779527559055
Green,place-balsq,17,1138,57.46748681898067
Green,place-balsq,18,1150,65.35173913043478
Green,place-balsq,19,1176,58.97491496598639
Green,place-balsq,20,1175,51.71872340425532
Green,place-balsq,21,1136,54.503080985915496
Green,place-balsq,22,1117,66.4243509400179
Green,place-balsq,23,1129,64.50177147918512
Green,place-bckhl,0,1016,64.81643700787401
Green,place-bckhl,1,212,73.71933962264151
Green,place-bckhl,2,39,384.9102564102564
Green,place-bckhl,5,194,72.03350515463917
Green,place-bckhl,6,824,72.71783980582525
Green,place-bckhl,7,982,65.23116089613035
Green,place-bckhl,8,980,65.49897959183673
Green,place-bckhl,9,1005,64.85771144278607
Green,place-bckhl,10,938,84.22334754797441
Green,place-bckhl,11,981,73.38328236493373
Green,place-bckhl,12,940,80.19787234042553
Green,place-bckhl,13,998,64.2244488977956
Green,place-bckhl,14,945,73.07195767195768
Green,place-bckhl,15,1007,64.493545183714
Green,place-bckhl,16,977,73.32343909928352
Green,place-bckhl,17,963,75.15939771547248
Green,place-bckhl,18,1015,68.06206896551724
Green,place-bckhl,19,1011,65.97823936696341
Green,place-bckhl,20,1026,58.21734892787524
Green,place-bckhl,21,988,71.12196356275304
Green,place-bckhl,22,1031,60.954898157129
Green,place-bckhl,23,990,67.1621212121212
Green,place-bcnfd,0,738,84.59417344173441
Green,place-bcnfd,1,393,101.90330788804071
Green,place-bcnfd,2,40,265.1875
Green,place-bcnfd,3,1,1270.0
Green,place-bcnfd,4,5,0.0
Green,place-bcnfd,5,424,55.52594339622642
Green,place-bcnfd,6,854,62.936182669789225
Green,place-bcnfd,7,928,70.5603448275862
Green,place-bcnfd,8,1019,67.99116781157998
Green,place-bcnfd,9,1006,64.32504970178927
Green,place-bcnfd,10,1005,70.21094527363184
Green,place-bcnfd,11,1022,74.54500978473581
Green,place-bcnfd,12,985,75.2771573604061
Green,place-bcnfd,13,1022,75.18199608610567
Green,place-bcnfd,14,1002,73.76147704590818
Green,place-bcnfd,15,1022,68.50146771037183
Green,place-bcnfd,16,1022,74.26663405088063
Green,place-bcnfd,17,991,77.39505549949546
Green,place-bcnfd,18,1037,67.82497589199615
Green,place-bcnfd,19,1064,66.61325187969925
Green,place-bcnfd,20,1065,64.81408450704225
Green,place-bcnfd,21,1046,65.7848948374761
Green,place-bcnfd,22,990,69.66010101010102
Green,place-bcnfd,23,976,71.69928278688525
Green,place-bcnwa,0,729,58.98491083676269
Green,place-bcnwa,1,236,136.1271186440678
Green,place-bcnwa,2,33,318.43939393939394
Green,place-bcnwa,5,447,32.124161073825505
Green,place-bcnwa,6,893,58.308510638297875
Green,place-bcnwa,7,1004,64.1339641434263
Green,place-bcnwa,8,1073,56.677073625349486
Green,place-bcnwa,9,1079,54.54680259499536
Green,place-bcnwa,10,1031,64.62172647914646
Green,place-bcnwa,11,1060,64.55896226415095
Green,place-bcnwa,12,1027,62.445959104186954
Green,place-bcnwa,13,1023,64.8435972629521
Green,place-bcnwa,14,1034,67.5352998065764
Green,place-bcnwa,15,1059,56.01983002832861
Green,place-bcnwa,16,1057,59.01655629139073
Green,place-bcnwa,17,996,58.46636546184739
Green,place-bcnwa,18,1028,54.4192607003891
Green,place-bcnwa,19,1053,55.08404558404558
Green,place-bcnwa,20,1038,56.604046242774565
Green,place-bcnwa,21,1015,56.74384236453202
Green,place-bcnwa,22,969,52.36687306501548
Green,place-bcnwa,23,884,70.85690045248869
Green,place-bland,0,754,66.58819628647215
Green,place-bland,1,215,74.28139534883721
Green,place-bland,2,28,207.80357142857142
Green,place-bland,5,229,58.83187772925764
Green,place-bland,6,857,58.05075845974329
Green,place-bland,7,938,63.69136460554371
Green,place-bland,8,979,59.43360572012257
Green,place-bland,9,994,58.035714285714285
Green,place-bland,10,988,68.15384615384616
Green,place-bland,11,964,67.27697095435684
Green,place-bland,12,935,75.44545454545455
Green,place-bland,13,926,70.43574514038878
Green,place-bland,14,923,78.67009750812568
Green,place-bland,15,938,68.07036247334754
Green,place-bland,16,922,68.40780911062907
Green,place-bland,17,913,74.82146768893757
Green,place-bland,18,951,71.52681388012618
Green,place-bland,19,926,68.84233261339092
Green,place-bland,20,918,63.001633986928105
Green,place-bland,21,879,66.98748577929466
Green,place-bland,22,861,73.92508710801394
Green,place-bland,23,883,58.67383918459796
Green,place-bndhl,0,417,60.726618705035975
Green,place-bndhl,1,136,137.43014705882354
Green,place-bndhl,2,19,297.2105263157895
Green,place-bndhl,5,250,32.534
Green,place-bndhl,6,535,59.75327102803738
Green,place-bndhl,7,587,63.829642248722315
Green,place-bndhl,8,621,57.66022544283414
Green,place-bndhl,9,613,59.390701468189235
Green,place-bndhl,10,616,62.693993506493506
Green,place-bndhl,11,610,65.17295081967212
Green,place-bndhl,12,593,66.82630691399663
Green,place-bndhl,13,588,66.21513605442176
Green,place-bndhl,14,596,73.65687919463087
Green,place-bndhl,15,638,56.20376175548589
Green,place-bndhl,16,613,56.678629690048936
Green,place-bndhl,17,592,56.7652027027027
Green,place-bndhl,18,599,52.18196994991653
Green,place-bndhl,19,612,59.52777777777778
Green,place-bndhl,20,620,54.848387096774196
Green,place-bndhl,21,601,55.46006655574043
Green,place-bndhl,22,552,55.11594202898551
Green,place-bndhl,23,519,72.69556840077071
Green,place-boyls,0,3302,32.74969715324046
Green,place-boyls,1,845,55.388757396449705
Green,place-boyls,2,77,291.8181818181818
Green,place-boyls,3,2,2410.5
Green,place-boyls,5,1532,41.49314621409922
Green,place-boyls,6,3520,32.388068181818184
Green,place-boyls,7,3751,28.111570247933884
Green,place-boyls,8,3901,32.18097923609331
Green,place-boyls,9,3948,32.08282674772037
Green,place-boyls,10,3899,33.213131572198
Green,place-boyls,11,3863,28.218224178099923
Green,place-boyls,12,3844,30.081425598335066
Green,place-boyls,13,3762,38.307416267942585
Green,place-boyls,14,3840,35.920572916666664
Green,place-boyls,15,3832,29.911273486430062
Green,place-boyls,16,3862,28.769290523045054
Green,place-boyls,17,3753,31.218891553423926
Green,place-boyls,18,3922,29.327893931667518
Green,place-boyls,19,3843,31.08730158730159
Green,place-boyls,20,3850,29.111168831168833
Green,place-boyls,21,3844,28.607180020811654
Green,place-boyls,22,3651,29.895918926321556
Green,place-boyls,23,3665,32.06043656207367
Green,place-brico,0,777,71.59009009009009
Green,place-brico,1,278,150.30755395683454
Green,place-brico,2,32,351.234375
Green,place-brico,3,1,4508.0
Green,place-brico,5,367,44.78610354223433
Green,place-brico,6,916,55.62663755458515
Green,place-brico,7,1057,66.45175023651845
Green,place-brico,8,1128,58.03767730496454
Green,place-brico,9,1106,57.80741410488246
Green,place-brico,10,1120,66.16339285714285
Green,place-brico,11,1098,65.6247723132969
Green,place-brico,12,1038,74.67533718689788
Green,place-brico,13,1074,69.75325884543761
Green,place-brico,14,1056,70.8063446969697
Green,place-brico,15,1070,69.46775700934579
Green,place-brico,16,1074,64.40130353817504
Green,place-brico,17,1058,71.12854442344046
Green,place-brico,18,1066,65.60928705440901
Green,place-brico,19,1074,65.84264432029795
Green,place-brico,20,1055,62.91895734597156
Green,place-brico,21,1032,61.70203488372093
Green,place-brico,22,965,70.19948186528498
Green,place-brico,23,1025,58.68390243902439
Green,place-brkhl,0,757,85.30845442536328
Green,place-brkhl,1,384,99.79036458333333
Green,place-brkhl,2,37,295.1081081081081
Green,place-brkhl,3,1,1272.5
Green,place-brkhl,4,6,0.0
Green,place-brkhl,5,398,53.287688442211056
Green,place-brkhl,6,870,63.719540229885055
Green,place-brkhl,7,959,70.71115745568301
Green,place-brkhl,8,1011,68.05291790306627
Green,place-brkhl,9,1002,65.31037924151697
Green,place-brkhl,10,989,71.35591506572295
Green,place-brkhl,11,1015,72.80098522167488
Green,place-brkhl,12,1003,75.95663010967098
Green,place-brkhl,13,1011,75.311078140455
Green,place-brkhl,14,1009,73.26610505450941
Green,place-brkhl,15,1017,69.2866273352999
Green,place-brkhl,16,1022,72.99119373776908
Green,place-brkhl,17,980,77.93163265306123
Green,place-brkhl,18,1030,68.44223300970874
Green,place-brkhl,19,1081,66.40703052728955
Green,place-brkhl,20,1053,66.24691358024691
Green,place-brkhl,21,1039,65.58132820019249
Green,place-brkhl,22,1002,67.52644710578842
Green,place-brkhl,23,978,71.16257668711657
Green,place-brmnl,0,992,59.473286290322584
Green,place-brmnl,1,211,69.24170616113744
Green,place-brmnl,2,33,385.42424242424244
Green,place-brmnl,3,1,1384.0
Green,place-brmnl,4,1,0.0
Green,place-brmnl,5,196,67.76785714285714
Green,place-brmnl,6,828,69.01570048309179
Green,place-brmnl,7,979,61.43105209397344
Green,place-brmnl,8,982,63.18533604887984
Green,place-brmnl,9,1012,59.194169960474305
Green,place-brmnl,10,943,77.31654294803818
Green,place-brmnl,11,959,73.67466110531804
Green,place-brmnl,12,956,73.1673640167364
Green,place-brmnl,13,993,55.75226586102719
Green,place-brmnl,14,962,67.7993762993763
Green,place-brmnl,15,1008,59.71230158730159
Green,place-brmnl,16,970,67.02680412371134
Green,place-brmnl,17,951,73.30231335436383
Green,place-brmnl,18,1020,61.83627450980392
Green,place-brmnl,19,1028,56.80593385214008
Green,place-brmnl,20,1028,52.06760700389105
Green,place-brmnl,21,984,62.61229674796748
Green,place-brmnl,22,1041,54.71325648414986
Green,place-brmnl,23,997,62.28335005015045
Green,place-bucen,0,733,65.86016371077763
Green,place-bucen,1,232,71.55172413793103
Green,place-bucen,2,29,262.0
Green,place-bucen,3,1,4511.5
Green,place-bucen,5,253,58.26877470355731
Green,place-bucen,6,854,53.94789227166277
Green,place-bucen,7,925,66.91945945945946
Green,place-bucen,8,990,58.0489898989899
Green,place-bucen,9,1006,57.20924453280318
Green,place-bucen,10,972,64.24897119341564
Green,place-bucen,11,974,67.3141683778234
Green,place-bucen,12,934,73.78265524625267
Green,place-bucen,13,934,69.43415417558886
Green,place-bucen,14,926,75.31425485961122
Green,place-bucen,15,943,69.07211028632025
Green,place-bucen,16,927,65.2831715210356
Green,place-bucen,17,912,73.89254385964912
Green,place-bucen,18,958,70.97181628392484
Green,place-bucen,19,929,68.1205597416577
Green,place-bucen,20,908,61.3557268722467
Green,place-bucen,21,902,66.89855875831486
Green,place-bucen,22,862,70.45939675174014
Green,place-bucen,23,882,58.27777777777778
Green,place-buest,0,740,66.76554054054054
Green,place-buest,1,225,79.52
Green,place-buest,2,28,208.42857142857142
Green,place-buest,3,1,4481.5
Green,place-buest,5,240,59.61666666666667
Green,place-buest,6,857,55.58693115519253
Green,place-buest,7,934,65.62205567451821
Green,place-buest,8,971,61.4562306900103
Green,place-buest,9,996,56.36696787148595
Green,place-buest,10,983,68.0116988809766
